0.8000,1.3613,0.8199,0.2136
0.6000,0.9200,1.6718,0.3039
0.8000,0.9696,0.8378,0.9245
0.2000,0.5905,1.7783,0.7445
0.8000,1.1015,0.7380,0.6102
0.6000,0.6816,1.7411,0.9902
0.6000,1.1618,0.9038,0.4231
0.6000,0.7011,1.6730,0.1532
0.8000,0.8506,0.8825,0.9693
0.2000,1.1582,1.7692,0.2590
0.8000,1.2933,0.8122,0.0165
0.4000,1.3007,1.6957,0.4598
0.6000,0.6206,0.7283,0.9050
0.2000,0.8803,1.6387,0.0113
0.6000,1.1180,0.8515,0.9764
0.0000,1.0432,1.7937,0.9508
0.2000,1.3029,0.6091,0.8868
0.4000,1.0940,1.8196,0.8099
0.6000,0.8499,0.8035,0.2688
0.8000,1.0907,1.7442,0.7195
0.4000,0.7525,0.6518,0.1428
0.4000,1.1120,1.7970,0.1606
0.2000,1.0295,0.7407,0.1290
0.2000,0.7844,1.7325,0.1624
0.8000,1.0154,0.7665,0.7455
0.8000,0.6729,1.5674,0.4534
0.4000,0.9653,0.7389,0.0012
0.0000,0.9775,1.5652,0.6715
0.6000,0.7973,0.7426,0.3761
0.2000,1.2141,1.6683,0.9570
0.4000,0.9122,0.8016,0.1906
0.0000,1.0857,1.7861,0.9570
0.4000,1.1845,0.5929,0.8150
0.4000,1.3299,1.8357,0.2353
0.0000,0.5918,0.6845,0.7213
0.0000,1.0530,1.7350,0.3947
0.8000,0.6901,0.8115,0.1631
0.8000,0.9360,1.5976,0.1976
0.0000,0.9301,0.6660,0.0128
0.4000,0.9874,1.7361,0.4887
0.0000,1.3816,0.6914,0.7743
0.2000,1.1500,1.7750,0.5716
0.6000,0.7048,0.6199,0.1447
0.4000,1.1982,1.6829,0.0079
0.4000,0.9597,0.9164,0.5221
0.2000,0.8595,1.7059,0.9504
0.6000,0.9173,0.6990,0.2709
0.2000,1.0195,1.7241,0.0793
0.4000,1.0931,0.7018,0.3129
0.6000,1.3924,1.7583,0.7502
